evolucion,id_proyecto,origen,presentado_por,tipo,titulo
:CAMARA_ENTRADA:PASE_COMISION:COMISION_ENTRADA,125874,CSS,"Carámbula Volpi, Marcos Gustavo",PROYECTO DE LEY,"BARISSONI BERGERO, Teresa Antonia. ESCUELA Nº 66 DE VIBORAS Y VACAS. (COLONIA). DENOMINACIÓN."
:CAMARA_ENTRADA:PEDIDO_INFORME_ENVIO,143426,CSS,"Camy Antognazza, Carlos Daniel",PEDIDO DE INFORMES,PERSONAS CON CAUSAL JUBILATORIA. DEUDORES DE APORTES. BENEFICIO JUBILATRIO. NEGATIVA. INFORMES.
:CAMARA_ENTRADA:PEDIDO_INFORME_ENVIO,143137,CSS,"Camy Antognazza, Carlos Daniel",PEDIDO DE INFORMES,SUMINISTRO SERVICIOS DIAGNÓSTICO E INTERVENCIONISMO ENDOVASCULAR. LICITACIÓN. INFORMES.
:CAMARA_ENTRADA:PEDIDO_INFORME_ENVIO:PEDIDO_INFORME_RESPUESTA,142247,CSS,"Camy Antognazza, Carlos Daniel",PEDIDO DE INFORMES,ARROYO LAS VACAS CARMELO (COLONIA). BUQUES ABANDONADOS. SITUACIÓN. INFORMES.
:CAMARA_ENTRADA:PEDIDO_INFORME_ENVIO,142209,CSS,"Camy Antognazza, Carlos Daniel",PEDIDO DE INFORMES,ARROYO LAS VACAS CARMELO (COLONIA). BUQUES ABANDONADOS. SITUACIÓN. INFORMES.
:CAMARA_ENTRADA:PEDIDO_INFORME_ENVIO,142246,CSS,"Camy Antognazza, Carlos Daniel",PEDIDO DE INFORMES,ARROYO LAS VACAS CARMELO (COLONIA). BUQUES ABANDONADOS. SITUACIÓN. INFORMES.
:CAMARA_ENTRADA:PEDIDO_INFORME_ENVIO:PEDIDO_INFORME_AMPLIACION_17673:PEDIDO_INFORME_RESPUESTA,141472,CSS,"Camy Antognazza, Carlos Daniel",PEDIDO DE INFORMES,"COMISIÓN APOYO HOSPITAL MACIEL. INTEGRACIÓN. COMETIDOS Y RECURSOS. EJECUCIÓN PRESUPUESTAL, RENDICIÓN CUENTAS Y CONTROLES. INFORMES."
:CAMARA_ENTRADA:PEDIDO_INFORME_ENVIO:PEDIDO_INFORME_RESPUESTA,141349,CSS,"Camy Antognazza, Carlos Daniel",PEDIDO DE INFORMES,ACCIDENTES CEREBRO VASCULARES. URUGUAY. ESTADISTICAS. INFORMES.
:CAMARA_ENTRADA:PEDIDO_INFORME_ENVIO:PEDIDO_INFORME_RESPUESTA,139961,CSS,"Camy Antognazza, Carlos Daniel",PEDIDO DE INFORMES,"ARMAS FUEGO, MUNICIONES, EXPLOSIVOS Y OTROS. TENENCIA. REGULARIZACIÓN (LEY 19.247). INFORMES."
:CAMARA_ENTRADA:PEDIDO_INFORME_ENVIO,139963,CSS,"Camy Antognazza, Carlos Daniel",PEDIDO DE INFORMES,"ARMAS FUEGO, MUNICIONES, EXPLOSIVOS Y OTROS. TENENCIA. REGULARIZACIÓN (LEY Nº 19.247). INFORMES."
:CAMARA_ENTRADA:PEDIDO_INFORME_ENVIO:PEDIDO_INFORME_RESPUESTA,139701,CSS,"Camy Antognazza, Carlos Daniel",PEDIDO DE INFORMES,RAIGÓN (SAN JOSÉ). ESCUELA AGRARIA. CURSOS EDUCACIÓN MEDIA TECNOLÓGICA. DISCONTINUACION. INFORMES.
:CAMARA_ENTRADA:PEDIDO_INFORME_ENVIO:PEDIDO_INFORME_RESPUESTA,139536,CSS,"Camy Antognazza, Carlos Daniel",PEDIDO DE INFORMES,GANADO BOVINO. EXPORTACIÓN ISRAEL. FAENA. NORMAS. INFORMES.
:CAMARA_ENTRADA:PEDIDO_INFORME_ENVIO:PEDIDO_INFORME_AMPLIACION_17673:PEDIDO_INFORME_RESPUESTA,137934,CSS,"Camy Antognazza, Carlos Daniel",PEDIDO DE INFORMES,ANGIOGRAFO DIGITAL NEURO VASCULAR. HOSPITAL MACIEL. INSTALACIÓN. LICITACIÓN. INFORMES.
:CAMARA_ENTRADA:PEDIDO_INFORME_ENVIO:PEDIDO_INFORME_RESPUESTA,137551,CSS,"Camy Antognazza, Carlos Daniel",PEDIDO DE INFORMES,FACULTAD CIENCIAS. INVESTIGACIÓN Y CAPACITACIÓN EN EL EXTERIOR. PERSONAL AFECTADO. LICENCIAS CONCEDIDAS. INFORMES.
:CAMARA_ENTRADA:PEDIDO_INFORME_ENVIO:PEDIDO_INFORME_RESPUESTA,137166,CSS,"Camy Antognazza, Carlos Daniel",PEDIDO DE INFORMES,ENERGIA ELECTRICA SAN JOSE (INTENDENCIA). CONSUMO Y RECAUDACION 2016-2017. INFORMES.
:CAMARA_ENTRADA:PEDIDO_INFORME_ENVIO:PEDIDO_INFORME_AMPLIACION_17673:PEDIDO_INFORME_RESPUESTA,136928,CSS,"Camy Antognazza, Carlos Daniel",PEDIDO DE INFORMES,AUTOMÓVLES. TALLERES MECÁNICOS. CATEGORIZACIÓN. INFORMES.
:CAMARA_ENTRADA:PEDIDO_INFORME_ENVIO:PEDIDO_INFORME_RESPUESTA,136174,CSS,"Camy Antognazza, Carlos Daniel",PEDIDO DE INFORMES,MISIONES PAZ ONU. FUERZAS ARMADAS. PERSONAL AFECTADO. INGRESOS MONETARIOS. INFORMES.
:CAMARA_ENTRADA:PEDIDO_INFORME_ENVIO,135486,CSS,"Camy Antognazza, Carlos Daniel",PEDIDO DE INFORMES,FUNCIONARIOS POLICIALES. DERECHOS LABORALES. INFORMES.
:CAMARA_ENTRADA:PEDIDO_INFORME_ENVIO:PEDIDO_INFORME_RESPUESTA,135138,CSS,"Camy Antognazza, Carlos Daniel",PEDIDO DE INFORMES,EMBARCACIONES PESCA ARTESANAL. PERMISOS PESCA. INFORMES.
:CAMARA_ENTRADA:PEDIDO_INFORME_ENVIO:PEDIDO_INFORME_RESPUESTA,133866,CSS,"Camy Antognazza, Carlos Daniel",PEDIDO DE INFORMES,ESCUELA Nº 106. SAN JOSÉ DE MAYO (SAN JOSÉ). SITUACIÓN EDILICIA. INFORMES.
:CAMARA_ENTRADA:PEDIDO_INFORME_ENVIO:PEDIDO_INFORME_RESPUESTA,133867,CSS,"Camy Antognazza, Carlos Daniel",PEDIDO DE INFORMES,VIVIENDAS. MEVIR. ASPIRANTES. INSCRIPCION. REQUISITOS. INFORMES.
:CAMARA_ENTRADA:PEDIDO_INFORME_ENVIO:PEDIDO_INFORME_RESPUESTA,133367,CSS,"Camy Antognazza, Carlos Daniel",PEDIDO DE INFORMES,BROU. PUBLICIDAD OFICIAL AÑO 2016. INFORMES.
:CAMARA_ENTRADA:PEDIDO_INFORME_ENVIO,131640,CSS,"Camy Antognazza, Carlos Daniel",PEDIDO DE INFORMES,"UTE, PEKSA Y COBRA INGENIERÍA S.A. MEMORÁNDUM. ENTENDIMIENTO. SUSCRIPCIÓN. INFORMES."
:CAMARA_ENTRADA:PEDIDO_INFORME_ENVIO:PEDIDO_INFORME_RESPUESTA,130230,CSS,"Camy Antognazza, Carlos Daniel",PEDIDO DE INFORMES,ZONAS FRANCAS.INFRACCIONES USUARIOS. INFORMES.
:CAMARA_ENTRADA:PEDIDO_INFORME_ENVIO:PEDIDO_INFORME_RESPUESTA,129094,CSS,"Camy Antognazza, Carlos Daniel",PEDIDO DE INFORMES,IMPUESTO PRIMARIA. RECAUDACIÓN. FUNCIONARIOS ENCARGADOS. INFORMES.
:CAMARA_ENTRADA:PEDIDO_INFORME_ENVIO:PEDIDO_INFORME_RESPUESTA,128745,CSS,"Camy Antognazza, Carlos Daniel",PEDIDO DE INFORMES,INC. PREDIOS. TRANSFERENCIA. INFORMES.
:CAMARA_ENTRADA:PEDIDO_INFORME_ENVIO:PEDIDO_INFORME_RESPUESTA,126323,CSS,"Camy Antognazza, Carlos Daniel",PEDIDO DE INFORMES,CUENCA. RÍO SANTA LUCÍA. SISTEMA DE POTABILIZACIÓN. INFORMACIÓN.
:CAMARA_ENTRADA:PEDIDO_INFORME_ENVIO,125868,CSS,"Camy Antognazza, Carlos Daniel",PEDIDO DE INFORMES,TRANSPORTISTAS DE CARGA. SITUACIÓN ACTUAL. INFORMES.
:CAMARA_ENTRADA:PEDIDO_INFORME_ENVIO:PEDIDO_INFORME_RESPUESTA:PEDIDO_INFORME_RESPUESTA,125531,CSS,"Camy Antognazza, Carlos Daniel",PEDIDO DE INFORMES,CENTRAL CICLO COMBINADO. CONSTRUCCIÓN Y OPERACIONES. EXTRACCIÓN AGUA. PERFORACIONES. INFORMES.
:CAMARA_ENTRADA:PEDIDO_INFORME_ENVIO:PEDIDO_INFORME_RESPUESTA,125529,CSS,"Camy Antognazza, Carlos Daniel",PEDIDO DE INFORMES,CENTRAL CICLO COMBINADO.CONSTRUCCIÓN. OPERACIÓN. EXTRACCIÓN DE AGUA. PERFORACIONES. INFORMES.
:CAMARA_ENTRADA:PASE_COMISION:COMISION_ENTRADA,143192,CSS,"Camy Antognazza, Carlos Daniel",PROYECTO DE LEY,EMPRESAS DISTRIBUIDORAS. CESE SIN EXPRESIÓN DE CAUSA. INDEMNIZACIÓN. NORMAS
:CAMARA_ENTRADA:PASE_COMISION:COMISION_ENTRADA:COMISION_TRATAMIENTO,142699,CSS,"Camy Antognazza, Carlos Daniel; Larrañaga, Jorge",PROYECTO DE LEY,ACCIDENTE CEREBRO VASCULAR. PREVENCIÓN. PROMOCIÓN. SE DECLARA DE INTERÉS GENERAL
:CAMARA_ENTRADA:PASE_COMISION:COMISION_ENTRADA,142060,CSS,"Camy Antognazza, Carlos Daniel",PROYECTO DE LEY,"MORENO PONCE, Wilfredo. LICEO 3 SAN JOSE DE MAYO (SAN JOSE). DENOMINACION."
:CAMARA_ENTRADA:PASE_COMISION:COMISION_ENTRADA:COMISION_APRUEBA:COMISION_INFORMA:CAMARA_DISCUCION:CAMARA_DISCUCION:CAMARA_APRUEBA:CAMARA_ENTRADA:PASE_COMISION:COMISION_ENTRADA:CAMARA_URGENCIA:CAMARA_DISCUCION:CAMARA_DISCUCION:CAMARA_APRUEBA:PROMULGA_PE:PASE_ARCHIVO,141809,CSS,"Camy Antognazza, Carlos Daniel",LEY,TRAFICO ARMAS. DELITO. TIPIFICACION. LEY 19.247 ARTÍCULO 6. PRÓRROGA DE PLAZO.
:CAMARA_ENTRADA:CAMARA_URGENCIA:CAMARA_DISCUCION:CAMARA_DISCUCION:CAMARA_APRUEBA:CAMARA_ENTRADA:PASE_COMISION:CAMARA_URGENCIA:CAMARA_DISCUCION:CAMARA_DISCUCION:CAMARA_APRUEBA:PROMULGA_PE:PASE_ARCHIVO,140161,CSS,"Camy Antognazza, Carlos Daniel; Castillo, Juan; Mieres, Pablo; Otheguy Vega, Marcos Javier; Passada, Ivonne",LEY,TRABAJADOR DEPÓSITOS PORTUARIOS O EXTRAPORTUARIOS Y MUELLES O EXPLANADAS. JORNALES MÍNIMOS. FIJACIÓN. ENTRADA EN VIGENCIA. PRÓRROGA.
:CAMARA_ENTRADA:PASE_COMISION:COMISION_ENTRADA:COMISION_TRATAMIENTO,140077,CSS,"Camy Antognazza, Carlos Daniel; Delgado, Alvaro",PROYECTO DE LEY,"EMPRESAS SERVICIOS EN DEPÓSITOS PORTUARIOS, EXTRAPORTUARIOS Y MUELLES. TRABAJADORES. LEY 19.535 (ART. 116). DEROGACIÓN."
:CAMARA_ENTRADA:PASE_COMISION:COMISION_ENTRADA,139308,CSS,"Camy Antognazza, Carlos Daniel",PROYECTO DE LEY,INSTITUTO COLONIZACIÓN (NACIONAL). DOMICILIO LEGAL Y SEDE PRINCIPAL. MODIFICACIÓN.
:CAMARA_ENTRADA:PASE_COMISION:COMISION_ENTRADA,138686,CSS,"Camy Antognazza, Carlos Daniel",PROYECTO DE LEY,URSEA. VÍNCULO PODER EJECUTIVO. MODIFICACIÓN.
:CAMARA_ENTRADA:PASE_COMISION:COMISION_ENTRADA:COMISION_APRUEBA:COMISION_INFORMA:CAMARA_DISCUCION:CAMARA_DISCUCION:CAMARA_APRUEBA:CAMARA_ENTRADA:PASE_COMISION:CAMARA_URGENCIA:CAMARA_DISCUCION:CAMARA_DISCUCION:CAMARA_MODIFICA:PASE_COMISION:COMISION_ENTRADA:COMISION_INFORMA:CAMARA_APRUEBA:PROMULGA_PE:PASE_ARCHIVO,137800,CSS,"Camy Antognazza, Carlos Daniel; Delgado, Alvaro",LEY,EMPRESAS SERVICIOS EN DEPÓSITOS PORTUARIOS. EXTRAPORTUARIOS Y MUELLES. TRABAJADORES. LEY 19.535 (ART. 116). DEROGACIÓN.
:CAMARA_ENTRADA:PASE_COMISION:COMISION_ENTRADA:COMISION_APRUEBA:COMISION_INFORMA:CAMARA_DISCUCION:CAMARA_DISCUCION:CAMARA_APRUEBA:CAMARA_ENTRADA:PASE_COMISION:COMISION_ENTRADA:COMISION_ENTRADA:COMISION_APRUEBA:COMISION_INFORMA:CAMARA_DISCUCION:CAMARA_DISCUCION:CAMARA_APRUEBA:PROMULGA_PE:PASE_ARCHIVO,137648,CSS,"Camy Antognazza, Carlos Daniel",LEY,DANIEL FERNÁNDEZ CRESPO.  RUTA TERCIARIA. SAN JOSÉ (DPTO). RAMAL RUTA 11. DENOMINACIÓN.
:CAMARA_ENTRADA:PASE_COMISION:COMISION_ENTRADA,135553,CSS,"Camy Antognazza, Carlos Daniel",PROYECTO DE LEY,CANADA. ESCUELA Nº118 (SAN JOSE). DENOMINACION.
:CAMARA_ENTRADA:PASE_COMISION:COMISION_ENTRADA,131983,CSS,"Camy Antognazza, Carlos Daniel",PROYECTO DE LEY,ASTURIAS. JARDIN INFANTES 110 (SAN JOSE). DENOMINACION.
:CAMARA_ENTRADA:PASE_COMISION:COMISION_ENTRADA:COMISION_APRUEBA:COMISION_INFORMA,130844,CSS,"Camy Antognazza, Carlos Daniel; Mieres, Pablo",MINUTA DE COMUNICACION,"RAMELA SALGUERO, Daniel. PENSIÓN GRACIABLE. OTORGAMIENTO. MINUTA COMUNICACIÓN."
:CAMARA_ENTRADA:PASE_COMISION:COMISION_ENTRADA:COMISION_TRATAMIENTO:COMISION_APRUEBA:COMISION_INFORMA:CAMARA_DISCUCION:CAMARA_DISCUCION:CAMARA_APRUEBA:CAMARA_ENTRADA:PASE_COMISION:COMISION_ENTRADA:COMISION_ENTRADA:COMISION_APRUEBA:COMISION_INFORMA:CAMARA_DISCUCION:CAMARA_DISCUCION:CAMARA_APRUEBA:PROMULGA_PE:PASE_ARCHIVO,130226,CSS,"Camy Antognazza, Carlos Daniel",LEY,"HUGO ROHRER, David Manuel. ESCUELA TÉCNICA ECILDA PAULLIER (SAN JOSE). DENOMINACIÓN."
:CAMARA_ENTRADA:PASE_COMISION:COMISION_ENTRADA,129090,CSS,"Camy Antognazza, Carlos Daniel",PROYECTO DE LEY,CONVENCIONES MATRIMONIALES. CÓDIGO CIVIL. MODIFICACIÓN.
:CAMARA_ENTRADA:PASE_COMISION:COMISION_ENTRADA:COMISION_TRATAMIENTO:COMISION_APRUEBA:COMISION_INFORMA:CAMARA_DISCUCION:CAMARA_DISCUCION:CAMARA_APRUEBA:CAMARA_ENTRADA:PASE_COMISION:COMISION_ENTRADA:COMISION_ENTRADA,127766,CSS,"Camy Antognazza, Carlos Daniel",PROYECTO DE LEY,"ARRARTE CORBO, Gonzalo. ESCUELA N° 62 (CERRO LARGO). DENOMINACION."
:PEDIDO_INFORME_ENVIO:PEDIDO_INFORME_RESPUESTA:PASE_ARCHIVO,138649,CRR,"Carballo Da Costa, Felipe",PEDIDO DE INFORMES,DESALOJOS PERIODO 2007 - 2017. CANTIDAD. INFORMES.
:PEDIDO_INFORME_ENVIO,137780,CRR,"Carballo Da Costa, Felipe",PEDIDO DE INFORMES,"BPS. OBTENCION PENSIONES, SUBSIDIOS Y JUBILACIONES INCAPACIDAD. INFORMES."
:PEDIDO_INFORME_ENVIO:PEDIDO_INFORME_RESPUESTA:PASE_ARCHIVO:PASE_ARCHIVO:PEDIDO_INFORME_RESPUESTA,136854,CRR,"Carballo Da Costa, Felipe",PEDIDO DE INFORMES,TARJETAS CORPORATIVAS BHU Y OSE. USO. INFORMES.
:PEDIDO_INFORME_ENVIO:PASE_ARCHIVO,136852,CRR,"Carballo Da Costa, Felipe",PEDIDO DE INFORMES,TARJETAS CORPORATIVAS. MIDES. USO. INFORMES.
:PEDIDO_INFORME_ENVIO:PEDIDO_INFORME_RESPUESTA:PASE_ARCHIVO,136850,CRR,"Carballo Da Costa, Felipe",PEDIDO DE INFORMES,MINISTERIO TURISMO. USO TARJETAS CORPORATIVAS. INFORMES.
:PEDIDO_INFORME_ENVIO:PEDIDO_INFORME_RESPUESTA,136817,CRR,"Carballo Da Costa, Felipe",PEDIDO DE INFORMES,TARJETAS CORPORATIVAS. AGENCIA NACIONAL INVESTIGACION INNOVACION. INSTITUTO NACIONAL EVALUACION EDUCATIVA. PROTOCOLO. USO. INFORMES.
:PEDIDO_INFORME_ENVIO:PEDIDO_INFORME_RESPUESTA:PASE_ARCHIVO,136861,CRR,"Carballo Da Costa, Felipe",PEDIDO DE INFORMES,TARJETAS CORPORATIVAS. ONSC. USO. INFORMES.
:PEDIDO_INFORME_ENVIO:PEDIDO_INFORME_RESPUESTA:PASE_ARCHIVO,136855,CRR,"Carballo Da Costa, Felipe",PEDIDO DE INFORMES,TARJETAS CORPORATIVAS OPP.  USO.  INFORMES.
:PEDIDO_INFORME_ENVIO,136821,CRR,"Carballo Da Costa, Felipe",PEDIDO DE INFORMES,TARJETAS CORPORATIVAS. MGAP. USO. INFORMES.
:PEDIDO_INFORME_ENVIO:PEDIDO_INFORME_RESPUESTA:PASE_ARCHIVO,136820,CRR,"Carballo Da Costa, Felipe",PEDIDO DE INFORMES,TARJETAS CORPORATIVAS. MEF. USO. INFORMES.
:PEDIDO_INFORME_ENVIO:PEDIDO_INFORME_RESPUESTA:PASE_ARCHIVO,136819,CRR,"Carballo Da Costa, Felipe",PEDIDO DE INFORMES,TARJETAS CORPORATIVAS BPS. PROTOCOLO. USO. INFORMES.
:PEDIDO_INFORME_ENVIO,136822,CRR,"Carballo Da Costa, Felipe",PEDIDO DE INFORMES,TARJETAS CORPORATIVAS. ANP Y AFE USO. INFORMES.
:PEDIDO_INFORME_ENVIO:PEDIDO_INFORME_AMPLIACION_17673,136849,CRR,"Carballo Da Costa, Felipe",PEDIDO DE INFORMES,TARJETAS CORPORATIVAS. CUDIN Y FNR. USO.INFORMES.
:PEDIDO_INFORME_ENVIO:PEDIDO_INFORME_RESPUESTA:PASE_ARCHIVO,136847,CRR,"Carballo Da Costa, Felipe",PEDIDO DE INFORMES,TARJETAS CORPORATIVAS. URUGUAY XXI. USO. INFORMES.
:PEDIDO_INFORME_ENVIO:PEDIDO_INFORME_RESPUESTA,136823,CRR,"Carballo Da Costa, Felipe",PEDIDO DE INFORMES,TARJETAS CORPORATIVAS. MIEM. USO. INFORMES.
,142497,Comisión Permanente,"Carballo Da Costa, Felipe; Díaz, Bettiana; Moreira, Constanza; Passada, Ivonne; Reutor, Carlos",PROYECTO DE RESOLUCION,REPUBLICA BOLIVARIANA VENEZUELA. SITUACION POLITICA Y SOCIAL. MOCION
:CAMARA_ENTRADA:PASE_COMISION:COMISION_ENTRADA:COMISION_ENTRADA:COMISION_TRATAMIENTO:CAMARA_DISCUCION:CAMARA_DISCUCION:CAMARA_APRUEBA:CAMARA_ENTRADA:PASE_COMISION:CAMARA_DISCUCION:CAMARA_DISCUCION:CAMARA_APRUEBA:PROMULGA_PE:PASE_ARCHIVO:COMISION_ENTRADA,141631,CRR,"Asti, Alfredo; Carballo Da Costa, Felipe; Chiazzaro, Roberto; De los Santos, Oscar; González, Pablo; Groba Arriondo, Oscar; Lústemberg Haro, María Cristina; Moreira, Carlos; Pelegrín, Mariela; Pereyra, Susana; Puig, Luis; Zavala, Alejandro",LEY,LICENCIA ESPECIAL TRABAJADOR CON FAMILIARES A CARGO CON DISCAPACIDAD. REGIMEN. MODIFICACION.
:CAMARA_ENTRADA:PASE_COMISION:COMISION_ENTRADA:COMISION_ENTRADA:PASE_ARCHIVO,140034,CRR,"Amarilla, Gerardo; Carballo Da Costa, Felipe; de los Santos Severgnini, Darcy Amaury; Gallo Cantera, Luis Enrique; Núñez, Gerardo; Posada, Iván; Rodríguez Gálvez, Carlos; Rubio, Eduardo; Viera Duarte, Tabaré",PROYECTO DE RESOLUCION,DOCUMENTACION SOLICITADA A SUPREMA CORTE JUSTICIA. COMISION INVESTIGADORA ACTOS INTELIGENICA ESTADO. REITERACION.
:CAMARA_ENTRADA:PASE_COMISION:COMISION_ENTRADA:COMISION_ENTRADA:COMISION_TRATAMIENTO:COMISION_APRUEBA:CAMARA_URGENCIA:PASE_ARCHIVO,139623,CRR,"Carballo Da Costa, Felipe; Cejas, Camilo; Groba Arriondo, Oscar; Puig, Luis; Reutor, Carlos",MINUTA DE COMUNICACION,CONDUCTOR TRANSPORTE POR CARRETERA. JORNADA TRABAJO Y DESCANSO. CONVENIO 153 OIT. RATIFICACION. SOLICITUD.
:CAMARA_ENTRADA:PASE_COMISION:COMISION_ENTRADA:COMISION_ENTRADA,139316,CRR,"Carballo Da Costa, Felipe",PROYECTO DE LEY,INEFOP. MATRIZ RIESGOS Y OPORTUNIDADES PUESTOS LABORALES. CREACION.
:CAMARA_ENTRADA:PASE_COMISION:COMISION_ENTRADA:COMISION_TRATAMIENTO,138666,CRR,"Carballo Da Costa, Felipe",PROYECTO DE LEY,DEUDORES BPS. FACILIDADES PAGO. REGIMEN. EXTENSION.
:CAMARA_ENTRADA:PASE_COMISION:COMISION_ENTRADA:COMISION_ENTRADA:COMISION_TRATAMIENTO,138667,CRR,"Carballo Da Costa, Felipe",PROYECTO DE LEY,DEUDORES BHU. CONDONACION DEUDAS. REGIMEN. MODIFICACION.
:CAMARA_ENTRADA:PASE_COMISION:COMISION_ENTRADA:COMISION_ENTRADA:COMISION_TRATAMIENTO,138669,CRR,"Carballo Da Costa, Felipe",PROYECTO DE LEY,TRABAJADOR. CARGA MANUAL INSUMOS AGROPECUARIOS. PESO MAXIMO. FIJACION.
:CAMARA_ENTRADA:PASE_COMISION:COMISION_ENTRADA:COMISION_TRATAMIENTO:COMISION_TRATAMIENTO:COMISION_TRATAMIENTO:COMISION_TRATAMIENTO:COMISION_TRATAMIENTO,134310,CRR,"Carballo Da Costa, Felipe; Gallo Cantera, Luis Enrique; Mier, Sergio; Reutor, Carlos",PROYECTO DE LEY,ORGANIZACION FUTBOL INFANTIL (ONFI). ORGANO RECTOR. ESTABLECIMIENTO.
:CAMARA_ENTRADA:PASE_COMISION:COMISION_ENTRADA,133349,CRR,"Carballo Da Costa, Felipe; Núñez, Gerardo",PROYECTO DE LEY,PRESTAMOS HIPOTECARIOS FONDO NACIONAL VIVIENDAS. CUOTA. SUBSIDIO. REGIMEN.
:CAMARA_ENTRADA:PASE_COMISION:COMISION_ENTRADA,133163,CRR,"Carballo Da Costa, Felipe",PROYECTO DE LEY,PRESTAMOS HIPOTECARIOS COOPERATIVAS VIVIENDA. TASA INTERES. FIJACION.
:CAMARA_ENTRADA:PASE_COMISION:COMISION_ENTRADA:COMISION_ENTRADA,133025,CRR,"Carballo Da Costa, Felipe; Gallo Cantera, Luis Enrique; Reutor, Carlos",PROYECTO DE LEY,ESPECTACULOS DEPORTIVOS. VIOLENCIA. ERRADICACION. REGIMEN.
:CAMARA_ENTRADA:PASE_COMISION:COMISION_ENTRADA:COMISION_ENTRADA:COMISION_APRUEBA:COMISION_INFORMA:CAMARA_DISCUCION:CAMARA_DISCUCION:CAMARA_APRUEBA:CAMARA_ENTRADA:PASE_COMISION:COMISION_ENTRADA:COMISION_TRATAMIENTO,132179,CRR,"Carballo Da Costa, Felipe; Civila, Gonzalo; de los Santos Severgnini, Darcy Amaury; Mahía, José Carlos; Mier, Sergio; Pelegrín, Mariela; Pozzi, Jorge; Ríos, Silvio; Santalla, Mercedes",PROYECTO DE LEY,PRESTACION SERVICIOS. PLATAFORMAS INFORMATICAS DE INTERMEDIACION. REGULACION.
:CAMARA_ENTRADA:PASE_COMISION:COMISION_ENTRADA:COMISION_ENTRADA:COMISION_TRATAMIENTO:COMISION_ENTRADA:COMISION_ENTRADA:COMISION_ENTRADA:COMISION_APRUEBA:COMISION_INFORMA:CAMARA_DISCUCION:CAMARA_DISCUCION:CAMARA_APRUEBA:CAMARA_ENTRADA:PASE_COMISION:COMISION_ENTRADA:COMISION_APRUEBA:COMISION_INFORMA:CAMARA_DISCUCION:CAMARA_DISCUCION:CAMARA_APRUEBA:PROMULGA_PE:PASE_ARCHIVO,131517,CRR,"Carballo Da Costa, Felipe",LEY,DIA PERIODISTA Y TRABAJADOR MEDIOS DE COMUNICACION - 23 OCTUBRE. DECLARACION.
:CAMARA_ENTRADA:PASE_COMISION:COMISION_ENTRADA:COMISION_ENTRADA:COMISION_TRATAMIENTO,125764,CRR,"Carballo Da Costa, Felipe",PROYECTO DE LEY,APARATOS ELECTRICOS Y ELECTRONICOS. RESIDUOS. DESTINO. REGIMEN.
:CAMARA_ENTRADA:PASE_COMISION:COMISION_ENTRADA:COMISION_ENTRADA:COMISION_TRATAMIENTO,125765,CRR,"Carballo Da Costa, Felipe",PROYECTO DE LEY,CISTERNA DOBLE CARGA. USO. PROMOCION.
:CAMARA_ENTRADA:PASE_COMISION:COMISION_ENTRADA:COMISION_ENTRADA:COMISION_TRATAMIENTO,125256,CRR,"Carballo Da Costa, Felipe",PROYECTO DE LEY,TRABAJADOR RURAL. SEGURO DESEMPLEO. REGIMEN. MODIFICACION.
:PEDIDO_INFORME_ENVIO:PEDIDO_INFORME_RESPUESTA:PASE_ARCHIVO,134764,CRR,"Castaingdebat, Armando",PEDIDO DE INFORMES,SISTEMA IDENTIFICACION Y REGISTRO ANIMAL. IMPLEMENTACION. INFORMES.
:PEDIDO_INFORME_ENVIO:PEDIDO_INFORME_RESPUESTA:PASE_ARCHIVO,125890,CRR,"Castaingdebat, Armando",PEDIDO DE INFORMES,ANTEL. CONTRATOS MENSUALES TELEFONIA CELULAR. COMPUTOS NO UTILIZADOS. INFORMES.
:PEDIDO_INFORME_ENVIO:PEDIDO_INFORME_RESPUESTA:PEDIDO_INFORME_RESPUESTA:PASE_ARCHIVO,125020,CRR,"Castaingdebat, Armando",PEDIDO DE INFORMES,DISCAPACITADO CUPO ORGANISMOS ESTADO. ONSC. LISTADO. ENVIO. INFORMES.
:PEDIDO_INFORME_ENVIO:PEDIDO_INFORME_RESPUESTA:PASE_ARCHIVO,124099,CRR,"Arocena Argul, José Andrés; Castaingdebat, Armando; Goñi Reyes, Rodrigo",PEDIDO DE INFORMES,AGUA. CONTROL. PROCEDIMIENTOS UTILIZADOS. INFORMES.
:PEDIDO_INFORME_ENVIO:PEDIDO_INFORME_RESPUESTA:PASE_ARCHIVO,124104,CRR,"Arocena Argul, José Andrés; Castaingdebat, Armando; Goñi Reyes, Rodrigo",PEDIDO DE INFORMES,AGUA. CONTROL. PROCEDIMIENTOS UTILIZADOS. INFORMES.
:CAMARA_ENTRADA:PASE_COMISION:COMISION_ENTRADA:COMISION_ENTRADA:COMISION_TRATAMIENTO:COMISION_POSTERGA:COMISION_TRATAMIENTO:COMISION_TRATAMIENTO:COMISION_TRATAMIENTO:COMISION_POSTERGA,141548,CRR,"Castaingdebat, Armando; Roselli, Edmundo; Umpiérrez, Alejo",PROYECTO DE LEY,GANADERIA OVINA. PROMOCION Y RECUPERACION. REGIMEN.
