cuerpo,email,id_legislador,lema,nombre
,jumpierrez@parlamento.gub.uy,11747,,"Paradeda Cabrera, Ismael"
REPRESENTANTE,opasquet_sec@parlamento.gub.uy,149,PARTIDO COLORADO,"Pasquet Iribarne, Ope"
REPRESENTANTE,mariela.pelegrin@parlamento.gub.uy,11693,PARTIDO FRENTE AMPLIO,"Pelegrín, Mariela"
REPRESENTANTE,apena@parlamento.gub.uy,11602,PARTIDO COLORADO,"Peña, Adrián"
REPRESENTANTE,gpenades@parlamento.gub.uy,2901,PARTIDO NACIONAL,"Penadés, Gustavo"
,nlarzabal@parlamento.gub.uy,11316,,"Perdomo Barreto, Milton Henry"
,,5166,,"Perdomo Gamarra, Alberto"
,gerardo.nunez@parlamento.gub.uy,12011,,"Perdomo, Gabriela"
,nolivera@parlamento.gub.uy,10305,,"Pereira de Onoratto, María del Carmen"
,apereyra@parlamento.gub.uy,7742,,"Pereyra, Aníbal"
,emalan@parlamento.gub.uy,11742,,"Pereyra, Estela"
,adastugue@parlamento.gub.uy,10449,,"Pereyra, Grisel"
REPRESENTANTE,spereyra@parlamento.gub.uy,9674,PARTIDO FRENTE AMPLIO,"Pereyra, Susana"
REPRESENTANTE,dperez@parlamento.gub.uy,2924,PARTIDO FRENTE AMPLIO,"Pérez Brito, Darío"
,pperez@parlamento.gub.uy,7851,,"Pérez González, Pablo"
,edurubio@parlamento.gub.uy,11703,,"Pérez, Carlos Hugo"
,wsilvera@parlamento.gub.uy,11946,,"Pérez, Julio"
,ominetti@parlamento.gub.uy,8485,,"Pérez, Julio"
,ssabini@parlamento.gub.uy,11640,,"Pérez, Paula"
,dradio_sec@parlamento.gub.uy,11863,,"Perusso, Juan Carlos"
,,11700,,"Pimentel, Adán"
,dperez@parlamento.gub.uy,10719,,"Piñeiro, Delfino"
,mariela.pelegrin@parlamento.gub.uy,12032,,"Piñeyro, María"
REPRESENTANTE,gmatiaude@parlamento.gub.uy,11793,PARTIDO COLORADO,"Pintado Sabini, Luis Eduardo"
,cbottino@parlamento.gub.uy,11797,,"Pitetta, Ernesto"
,dplaceres@parlamento.gub.uy,5572,,"Placeres, Daniel"
,legallo@parlamento.gub.uy,11681,,"Pombo, Lorena"
,cvarela@parlamento.gub.uy,5271,,"Ponte, Elena"
,dpena@parlamento.gub.uy,11733,,"Posse, Luis Alberto"
REPRESENTANTE,jpozzi@parlamento.gub.uy,7755,PARTIDO FRENTE AMPLIO,"Pozzi, Jorge"
,,12274,,"Prieto, Laura"
REPRESENTANTE,lpuig@parlamento.gub.uy,9889,PARTIDO FRENTE AMPLIO,"Puig, Luis"
,jquerejeta@parlamento.gub.uy,11622,,"Querejeta, José"
,mquintela@parlamento.gub.uy,11923,,"Quintela, Mabel"
REPRESENTANTE,dradio@parlamento.gub.uy,9972,PARTIDO INDEPENDIENTE,"Radío, Daniel"
,,11888,,"Ramírez, Daniel"
,jpozzi@parlamento.gub.uy,2993,,"Ramos Espíndola, Roque Fabián"
,gcivila@parlamento.gub.uy,11894,,"Ramos, Juan Carlos"
,aniffouri@parlamento.gub.uy,11876,,"Rapalin, Lourdes"
REPRESENTANTE,vrapela@parlamento.gub.uy,11589,PARTIDO COLORADO,"Rapela, Valentina"
,msantalla@parlamento.gub.uy,12273,,"Rebori, Abraham"
REPRESENTANTE,nreisch@parlamento.gub.uy,11709,PARTIDO COLORADO,"Reisch, Nibia"
,dradio@parlamento.gub.uy,10752,,"Renom, Edgard"
,andres.carrasco@parlamento.gub.uy,11648,,"Rettich Szombaty, Elizabeth"
REPRESENTANTE,creutor@parlamento.gub.uy,11591,PARTIDO FRENTE AMPLIO,"Reutor, Carlos"
,gmatiaude@parlamento.gub.uy,11944,,"Reyes Pippo, Sandra"
,dcaggiani@parlamento.gub.uy,11698,,"Reyes, Diego"
,psaravia@parlamento.gub.uy,9980,,"Ricagni, Federico"
REPRESENTANTE,srios@parlamento.gub.uy,11577,PARTIDO FRENTE AMPLIO,"Ríos, Silvio"
,gamarilla@parlamento.gub.uy,12013,,"Rocha, Patricia"
,,11835,,"Rodríguez Cattaneo, Luisa"
REPRESENTANTE,crodriguezgalvez@parlamento.gub.uy,10032,PARTIDO FRENTE AMPLIO,"Rodríguez Gálvez, Carlos"
REPRESENTANTE,nrodriguez@parlamento.gub.uy,2735,PARTIDO NACIONAL,"Rodríguez Servetto, Nelson"
REPRESENTANTE,dplaceres@parlamento.gub.uy,1930,PARTIDO FRENTE AMPLIO,"Rodríguez, César"
,dplaceres@parlamento.gub.uy,12156,,"Rodríguez, César"
REPRESENTANTE,conrodriguez@parlamento.gub.uy,11597,PARTIDO COLORADO,"Rodríguez, Conrado"
,,8192,,"Rodríguez, Delia"
REPRESENTANTE,erodriguez@parlamento.gub.uy,7759,PARTIDO FRENTE AMPLIO,"Rodríguez, Edgardo"
REPRESENTANTE,glrodriguez@parlamento.gub.uy,11582,PARTIDO NACIONAL,"Rodríguez, Gloria"
,bsanseverino@parlamento.gub.uy,11785,,"Rodríguez, Lucía"
REPRESENTANTE,wezquerra@parlamento.gub.uy,11696,PARTIDO NACIONAL,"Rodríguez, Valentín"
,tviera@parlamento.gub.uy,6066,,"Rodríguez, Vilibaldo"
REPRESENTANTE,eroselli@parlamento.gub.uy,11595,PARTIDO NACIONAL,"Roselli, Edmundo"
REPRESENTANTE,edurubio@parlamento.gub.uy,5252,PARTIDO ASAMBLEA POPULAR,"Rubio, Eduardo"
REPRESENTANTE,fruiz@parlamento.gub.uy,11581,PARTIDO FRENTE AMPLIO,"Ruiz, Juan Federico"
REPRESENTANTE,ssabini@parlamento.gub.uy,9894,PARTIDO FRENTE AMPLIO,"Sabini, Sebastián"
,,11959,,"Sader, Luis"
,fruiz@parlamento.gub.uy,1973,,"Salvo, Virgilio Alberto"
REPRESENTANTE,birazabal@parlamento.gub.uy,12049,PARTIDO NACIONAL,"San Martín, Nora"
,gcardoso@parlamento.gub.uy,8876,,"Sanabria Barrios, Francisco"
REPRESENTANTE,asanchez@parlamento.gub.uy,9907,PARTIDO FRENTE AMPLIO,"Sánchez, Alejandro"
,saristimunio@parlamento.gub.uy,11801,,"Sánchez, Marisa"
,tviera@parlamento.gub.uy,11935,,"Sander, Raúl"
,jarocena@parlamento.gub.uy,10139,,"Sanguinetti, Francisco"
,bsanseverino@parlamento.gub.uy,8461,,"Sanseverino, Berta"
REPRESENTANTE,msantalla@parlamento.gub.uy,9943,PARTIDO FRENTE AMPLIO,"Santalla, Mercedes"
,jbattistoni@parlamento.gub.uy,11790,,"Saravia, Enrique"
,mlema@parlamento.gub.uy,11704,,"Satdjian, José"
,aasti@parlamento.gub.uy,11633,,"Schiavone, Estefanía"
REPRESENTANTE,gcardoso@parlamento.gub.uy,4295,PARTIDO COLORADO,"Schusman Kraft, Jorge"
,conrodriguez@parlamento.gub.uy,4522,,"Secco Rodríguez, Gonzalo"
,mariela.pelegrin@parlamento.gub.uy,12316,,"Semproni Rivero, Sandra"
,,2882,,"Semproni, Víctor"
,mlgarcia@parlamento.gub.uy,5700,,"Sención Corbo, Enrique Hugo"
,mariela.pelegrin@parlamento.gub.uy,2013,,"Silva, Luis"
,gcardoso@parlamento.gub.uy,11890,,"Silvera, Sebastián"
REPRESENTANTE,wsilvera@parlamento.gub.uy,11592,PARTIDO FRENTE AMPLIO,"Silvera, Washington"
,,11673,,"Simoff, Beatriz"
,crodriguezgalvez@parlamento.gub.uy,11636,,"Sironi Mattos, Ilda Renee"
,hsosa@parlamento.gub.uy,320,,"Sosa Acosta, Heriberto"
,aniffouri@parlamento.gub.uy,7859,,"Suárez, María del Carmen"
,mariela.pelegrin@parlamento.gub.uy,12235,,"Tambasco, Fátima"
,gamarilla@parlamento.gub.uy,11732,,"Tassano, Laura"
,wezquerra@parlamento.gub.uy,11932,,"Teixeira, Melisa"
REPRESENTANTE,mtierno@parlamento.gub.uy,9902,PARTIDO FRENTE AMPLIO,"Tierno, Martín"
REPRESENTANTE,htoledo@parlamento.gub.uy,7746,PARTIDO FRENTE AMPLIO,"Toledo Antúnez, Hermes"
REPRESENTANTE,jtrobo@parlamento.gub.uy,405,PARTIDO NACIONAL,"Trobo, Jaime Mario"
,jpozzi@parlamento.gub.uy,11807,,"Ubal, Jaqueline"
REPRESENTANTE,saristimunio@parlamento.gub.uy,11307,PARTIDO FRENTE AMPLIO,"Umpierre, Washington"
REPRESENTANTE,aumpierrez@parlamento.gub.uy,7981,PARTIDO NACIONAL,"Umpiérrez, Alejo"
,,12270,,"Umpiérrez, Everad"
REPRESENTANTE,jumpierrez@parlamento.gub.uy,10034,PARTIDO FRENTE AMPLIO,"Umpiérrez, Javier"
,mmutti@parlamento.gub.uy,12104,,"Urrutia, Nicolás"
,ogroba@parlamento.gub.uy,11808,,"Valdomir, Sebastián"
,,11784,,"Valverde, Sergio"
REPRESENTANTE,cvarela@parlamento.gub.uy,7754,PARTIDO FRENTE AMPLIO,"Varela Nestier, Carlos"
,nolivera@parlamento.gub.uy,11623,,"Vásquez Varela, Patricia"
,jvazquez@parlamento.gub.uy,3352,,"Vázquez, Juan Angel"
REPRESENTANTE,gpenades@parlamento.gub.uy,11818,PARTIDO NACIONAL,"Vázquez, Mabel"
,dpena@parlamento.gub.uy,9999,,"Vega, Mary"
REPRESENTANTE,wverri@parlamento.gub.uy,9973,PARTIDO COLORADO,"Verri, Walter"
,cvidalin@parlamento.gub.uy,5193,,"Vidalín, Carmelo"
REPRESENTANTE,sviel@parlamento.gub.uy,11600,PARTIDO FRENTE AMPLIO,"Viel, Stella"
,nolivera@parlamento.gub.uy,12462,,"Viera, Humberto"
REPRESENTANTE,msantalla@parlamento.gub.uy,11626,PARTIDO FRENTE AMPLIO,"Viera, Nicolás"
REPRESENTANTE,gnovales@parlamento.gub.uy,11672,PARTIDO NACIONAL,"Viñales, María Pía"
REPRESENTANTE,jyurramendi@parlamento.gub.uy,11580,PARTIDO NACIONAL,"Yurramendi Pérez, José"
,olafluf@parlamento.gub.uy,7962,,"Zabaleta, Oscar"
,mgelman@parlamento.gub.uy,7982,,"Zavala, Alejandro"
,wverri@parlamento.gub.uy,9966,,"Ziminov, Luis Alberto"
,,11692,,"Zoulamián, Antonio"
,,11833,,"Zumarán, Magdalena"
