entrada_A.G.,entrada_C.P.,entrada_CRR,entrada_CSS,id_proyecto,num_comisiones,num_sesiones,origen,presentado_por,sanciona_A.G.,sanciona_CRR,sanciona_CSS,sanciona_PE,tipo,titulo
,,2018-09-04 00:00:00,2018-05-02 00:00:00,139480,2,5,Cámara Senadores,"Ayala, Patricia; Carballo Da Costa, Felipe; Carrera Leal, Charles; Castillo, Juan; Garin De Nardo, Daniel; Martínez Huelmo, Rubén; Moreira, Constanza; Otheguy Vega, Marcos Javier; Passada, Ivonne; Pintado, Enrique; Tourné, Daisy; Xavier, Mónica",,2019-04-09 00:00:00,2018-08-21 00:00:00,,PROYECTO DE LEY,DÍA DEL ABOGADO EN URUGUAY - 9 DE MAYO. DECLARACIÓN.
,,,2017-11-14 00:00:00,137519,1,1,Cámara Senadores,"Ayala, Patricia; Carrera Leal, Charles; De León, Leonardo; Garin De Nardo, Daniel; Martínez Huelmo, Rubén; Michelini, Rafael; Otheguy Vega, Marcos Javier; Passada, Ivonne; Payssé, Daniela; Tourné, Daisy; Xavier, Mónica",,,,,PROYECTO DE LEY,SEDES PODER JUDICIAL. SISTEMA DE REGISTRO DE AUDIENCIAS. FUNCIONAMIENTO.
,,2017-12-11 00:00:00,2017-11-22 00:00:00,137658,2,4,Cámara Senadores,"Ayala, Patricia; Carrera Leal, Charles; De León, Leonardo; Garin De Nardo, Daniel; Lazo, Sandra; Martínez Huelmo, Rubén; Michelini, Rafael; Moreira, Constanza; Otheguy Vega, Marcos Javier; Payssé, Daniela; Suárez Bertora, Michelle; Xavier, Mónica",,2017-12-20 00:00:00,2017-12-06 00:00:00,2017-12-28 00:00:00,LEY,CÓDIGO DEL PROCESO PENAL. LEY 19.293. MATERIA INFRACCIONAL ADOLESCENTE. INCORPORACIÓN.
,,2018-06-05 00:00:00,2017-11-01 00:00:00,137300,2,5,Cámara Senadores,"Ayala, Patricia; Carámbula Volpi, Marcos Gustavo; Carrera Leal, Charles; De León, Leonardo; Gallicchio Queirolo, Antonio; Garin De Nardo, Daniel; Moreira, Constanza; Otheguy Vega, Marcos Javier; Passada, Ivonne; Payssé, Daniela; Pintado, Enrique; Tourné, Daisy; Xavier, Mónica",,,2018-05-16 00:00:00,,PROYECTO DE LEY,INSTITUCION DERECHOS HUMANOS (NACIONAL). LEY 18446. MODIFICACION
,,2017-07-04 00:00:00,2017-06-27 00:00:00,135458,1,3,Cámara Senadores,"Ayala, Patricia; Bordaberry Herrán, Juan Pedro; Camy Antognazza, Carlos Daniel; Martínez Huelmo, Rubén; Michelini, Rafael; Moreira, Constanza; Payssé, Daniela; Silveira, Julio C.",,2017-07-05 00:00:00,2017-06-29 00:00:00,2017-07-14 00:00:00,LEY,CODIGO PROCESO PENAL. ENTRADA EN VIGENCIA. MODIFICACION.
,,2017-10-10 00:00:00,2017-07-12 00:00:00,135674,2,4,Cámara Senadores,"Ayala, Patricia; Bordaberry Herrán, Juan Pedro; Camy Antognazza, Carlos Daniel; Gallicchio Queirolo, Antonio; Heber, Luis Alberto; Martínez Huelmo, Rubén; Mieres, Pablo; Moreira, Constanza; Payssé, Daniela",,2017-10-17 00:00:00,2017-10-03 00:00:00,2017-11-01 00:00:00,LEY,CODIGO DEL PROCESO PENAL. NORMATIVA. MODIFICACION.
,,2017-06-13 00:00:00,2017-06-05 00:00:00,135084,2,4,Cámara Senadores,"Ayala, Patricia; Bordaberry Herrán, Juan Pedro; Camy Antognazza, Carlos Daniel; Martínez Huelmo, Rubén; Michelini, Rafael; Mieres, Pablo; Moreira, Constanza; Payssé, Daniela",,2017-07-04 00:00:00,2017-06-07 00:00:00,2017-07-14 00:00:00,LEY,CÓDIGO PROCESO PENAL. LEY 19.293. MODIFICACIÓN.
,,2017-12-06 00:00:00,2017-06-29 00:00:00,135482,2,7,Cámara Senadores,"Ayala, Patricia; Carámbula Volpi, Marcos Gustavo; Garin De Nardo, Daniel; Lazo, Sandra; Martínez Huelmo, Rubén; Michelini, Rafael; Moreira, Constanza; Otheguy Vega, Marcos Javier; Payssé, Daniela; Pintado, Enrique; Topolansky, Lucía; Xavier, Mónica",,2018-05-09 00:00:00,2018-07-04 00:00:00,2018-07-13 00:00:00,LEY,SITIOS MEMORIA HISTORICA DEL PASADO RECIENTE. INTERES GENERAL. DECLARACION.
,,,2017-05-09 00:00:00,134776,1,1,Cámara Senadores,"Ayala, Patricia; De León, Leonardo; Garin De Nardo, Daniel; Lorier, Eduardo; Martínez Huelmo, Rubén; Moreira, Constanza; Mujica, José; Otheguy Vega, Marcos Javier; Passada, Ivonne; Topolansky, Lucía",,,,,PROYECTO DE LEY,SISTEMA MEDIOS PAGOS ELECTRONICOS. REGULACION.
,,2017-06-13 00:00:00,2017-05-16 00:00:00,134850,2,5,Cámara Senadores,"Ayala, Patricia; Carámbula Volpi, Marcos Gustavo; De León, Leonardo; Garin De Nardo, Daniel; Martínez Huelmo, Rubén; Michelini, Rafael; Moreira, Constanza; Mujica, José; Otheguy Vega, Marcos Javier; Passada, Ivonne; Payssé, Daniela; Pintado, Enrique; Topolansky, Lucía; Tourné, Daisy; Xavier, Mónica",,2017-10-10 00:00:00,2017-06-06 00:00:00,2017-10-20 00:00:00,LEY,"LAUSAROT GUIGOU, Libertad Grizelda. LICEO Nº 1 CIUDAD DEL PLATA (SAN JOSE). DENOMINACION."
,,2017-09-05 00:00:00,2017-06-05 00:00:00,135085,2,5,Cámara Senadores,"Ayala, Patricia; Bordaberry Herrán, Juan Pedro; Camy Antognazza, Carlos Daniel; Martínez Huelmo, Rubén; Michelini, Rafael; Mieres, Pablo; Moreira, Constanza; Payssé, Daniela",,2017-10-17 00:00:00,2017-10-18 00:00:00,2017-10-25 00:00:00,LEY,CÓDIGO NIÑEZ Y ADOLESCENCIA. LEY 17.823. MODIFICACIÓN
,,2017-06-22 00:00:00,2017-04-26 00:00:00,134536,2,7,Cámara Senadores,"Ayala, Patricia; Camy Antognazza, Carlos Daniel; Eguiluz, Cecilia; Martínez Huelmo, Rubén; Michelini, Rafael; Moreira, Constanza; Payssé, Daniela",,2017-10-04 00:00:00,2017-10-11 00:00:00,2017-10-20 00:00:00,LEY,CODIGO PROCESO PENAL. MODIFICACION.
,,2017-06-13 00:00:00,2017-04-05 00:00:00,134340,2,4,Cámara Senadores,"Ayala, Patricia; Besozzi, Guillermo; De León, Leonardo; Garin De Nardo, Daniel; Martínez Huelmo, Rubén; Michelini, Rafael; Otheguy Vega, Marcos Javier; Passada, Ivonne; Payssé, Daniela; Pintado, Enrique; Saravia, Jorge; Tourné, Daisy",,,2017-06-07 00:00:00,,PROYECTO DE LEY,CODIGO PENAL. ABUSO DE FUNCIONES. DEROGACION.
,,2017-06-13 00:00:00,2017-03-14 00:00:00,133875,2,5,Cámara Senadores,"Ayala, Patricia; De León, Leonardo; Garin De Nardo, Daniel; Lorier, Eduardo; Martínez Huelmo, Rubén; Michelini, Rafael; Otheguy Vega, Marcos Javier; Pardiñas, Yeru; Pintado, Enrique",,2017-12-06 00:00:00,2017-06-06 00:00:00,2017-12-15 00:00:00,LEY,DIA DE LA PRIMERA BANDERA DE JOSE ARTIGAS. DECLARACION.
,,,2019-03-19 00:00:00,142934,0,1,Cámara Senadores,"Bordaberry Herrán, Juan Pedro",,,,,PEDIDO DE INFORMES,LAGUNA GARZÓN (MALDONADO). PLAN URBANIZACIÓN. INFORMES.
,,,2018-08-22 00:00:00,140941,0,2,Cámara Senadores,"Bordaberry Herrán, Juan Pedro",,,,,PEDIDO DE INFORMES,RAMBLA PUNTA COLORADA Y SAN FRANCISCO (MALDONADO). OBRAS. INFORMES.
,,,2018-08-14 00:00:00,140790,0,1,Cámara Senadores,"Bordaberry Herrán, Juan Pedro",,,,,PEDIDO DE INFORMES,RAMBLA PUNTA COLORADA Y SAN FRANCISCO (MALDONADO). OBRAS. INFORMES.
,,,2018-07-03 00:00:00,140336,0,2,Cámara Senadores,"Bordaberry Herrán, Juan Pedro",,,,,PEDIDO DE INFORMES,PUERTO MONTEVIDEO. MUELLE C. EXTENSIÓN. OBRA. INFORMES.
,,,2018-06-20 00:00:00,140174,0,2,Cámara Senadores,"Bordaberry Herrán, Juan Pedro",,,,,PEDIDO DE INFORMES,"AGENCIA NACIONAL VIVIENDA. PUBLICIDAD, PROMOCIONES Y ESTUDIOS OPINIÓN. GASTOS. INFORMES."
,,,2018-06-11 00:00:00,140071,0,1,Cámara Senadores,"Bordaberry Herrán, Juan Pedro",,,,,PEDIDO DE INFORMES,LA PALOMA (ROCHA). PADRONES. DESAFECTACIÓN. DESTINO. INFORMES.
,,,2018-05-15 00:00:00,139702,0,2,Cámara Senadores,"Bordaberry Herrán, Juan Pedro",,,,,PEDIDO DE INFORMES,HOTEL ENJOY (EX CONRAD) - BALUMA SA. CONTRATO DE CONCESIÓN. INFORMES.
,,,2018-05-02 00:00:00,139486,0,1,Cámara Senadores,"Bordaberry Herrán, Juan Pedro",,,,,PEDIDO DE INFORMES,ANTEL. DIRECTORIO. SALARIO. TARJETAS CORPORATIVAS. USO. INFORMES.
,,,2018-05-08 00:00:00,139573,0,1,Cámara Senadores,"Bordaberry Herrán, Juan Pedro",,,,,PEDIDO DE INFORMES,BOVINOS. ENFERMEDADES PREVALENTES. SEGURO. INFORMES.
,,,2018-05-02 00:00:00,139487,0,1,Cámara Senadores,"Bordaberry Herrán, Juan Pedro",,,,,PEDIDO DE INFORMES,ANTEL ARENA. OBRAS. ESTADO DE SITUACIÓN. INFORMES.
,,,2018-05-02 00:00:00,139488,0,1,Cámara Senadores,"Bordaberry Herrán, Juan Pedro",,,,,PEDIDO DE INFORMES,FIBRA ÓPTICA. CABLE SUBMARINO. CONEXIÓN. INFORMES.
,,,2018-04-03 00:00:00,139045,0,3,Cámara Senadores,"Bordaberry Herrán, Juan Pedro",,,,,PEDIDO DE INFORMES,ENCUESTA NACIONAL DE VICTIMIZACIÓN. INFORMES.
,2019-02-13 00:00:00,,,142491,0,2,Comisión Permanente,"Abdala, Pablo; Ayala, Mario; Bianchi, Graciela; Bordaberry Herrán, Juan Pedro; Camy Antognazza, Carlos Daniel",,,,,PROYECTO DE RESOLUCION,REPUBLICA BOLIVARIANA VENEZUELA. SITUACION POLITICA SOCIAL
,,,2018-11-22 00:00:00,141926,1,2,Cámara Senadores,"Bordaberry Herrán, Juan Pedro; Camy Antognazza, Carlos Daniel; Martínez Huelmo, Rubén; Mieres, Pablo; Pintado, Enrique; Tourné, Daisy",,,2018-12-12 00:00:00,,MINUTA DE COMUNICACION,DELITOS VIOLENTOS. VICTIMAS. PENSION. AMPLIACION. MINUTA COMUNICACION.
,,,2018-05-22 00:00:00,139802,1,2,Cámara Senadores,"Bordaberry Herrán, Juan Pedro",,,,,PROYECTO DE LEY,DECLARACION DE INCONSTITUCIONALIDAD. SOLICITUD. MEDIDAS CAUTELARES ORDENADAS.
,,,2018-04-04 00:00:00,139128,1,1,Cámara Senadores,"Bordaberry Herrán, Juan Pedro; Heber, Luis Alberto",,,,,PROYECTO DE LEY,ASSE. REPRESENTANTES USUARIOS. OTORGAR VOZ Y NO VOTO.
,,,2018-03-21 00:00:00,138978,0,2,Cámara Senadores,"Bordaberry Herrán, Juan Pedro",,,,,PEDIDO DE INFORMES,TERMINAL GRANELERA. PUERTO FRAY BENTOS (RÍO NEGRO). ADJUDICACIÓN. RAMAL FERROVIARIO ALGORTA-FRAY BENTOS (RÍO NEGRO). CONSTRUCCIÓN. LICITACIÓN. INFORMES.
,,,2018-03-21 00:00:00,138979,0,1,Cámara Senadores,"Bordaberry Herrán, Juan Pedro",,,,,PEDIDO DE INFORMES,INDA. ASISTENCIA ALIMENTARIA Y NUTRICIONAL. CRUZ DE CARRASCO (MVDEO). INFORMES.
,,,2018-03-20 00:00:00,138952,0,2,Cámara Senadores,"Bordaberry Herrán, Juan Pedro",,,,,PEDIDO DE INFORMES,MONTEVIDEO. ZONA 8. DESARROLLO BARRIAL. PLANES. INFORMES.
,,,2018-03-20 00:00:00,138955,0,2,Cámara Senadores,"Bordaberry Herrán, Juan Pedro",,,,,PEDIDO DE INFORMES,MONTEVIDEO. ZONA 8. POBLACIÓN VULNERABLE. ATENCIÓN. INFORMES.
,,,2018-03-12 00:00:00,138838,0,3,Cámara Senadores,"Bordaberry Herrán, Juan Pedro",,,,,PEDIDO DE INFORMES,"ALUR. PROCURADOR, ABOGADO, ESCRIBANO PERMANENTES O EXTERNOS CONTRATADOS. 2007 A LA FECHA. INFORMES."
,,,2018-03-07 00:00:00,138765,0,3,Cámara Senadores,"Bordaberry Herrán, Juan Pedro",,,,,PEDIDO DE INFORMES,ARROZALES BALNEARIO LAGO MERÍN (CERRO LARGO). FUMIGACIONES AÉREAS. INFORMES.
,,,2018-02-21 00:00:00,138468,1,1,Cámara Senadores,"Bordaberry Herrán, Juan Pedro",,,,,PROYECTO DE LEY,CÓDIGO PROCESO PENAL. MODIFICACIÓN.
,,,2018-02-09 00:00:00,138413,1,1,Cámara Senadores,"Bordaberry Herrán, Juan Pedro",,,,,PROYECTO DE LEY,ALTAS JERARQUÍAS. FAMILIARES. ADMINISTRACIÓN PÚBLICA. CONTRATACIÓN. PROHIBICIÓN.
,,,2017-12-20 00:00:00,137988,1,1,Cámara Senadores,"Bordaberry Herrán, Juan Pedro",,,,,PROYECTO DE MINUTA DE COMUNICACION,BPS. JUBILACION. EDAD RETIRO. MODIFICACION.
,,,2017-11-15 00:00:00,137606,0,1,Cámara Senadores,"Bordaberry Herrán, Juan Pedro; Camy Antognazza, Carlos Daniel; De León, Leonardo; Mieres, Pablo; Otheguy Vega, Marcos Javier; Saravia, Jorge",,,,,PROYECTO DE DECLARACION,IRAN. TERREMOTO. SOLIDARIDAD. DECLARACION.
,,,2017-11-08 00:00:00,137427,0,1,Cámara Senadores,"Bordaberry Herrán, Juan Pedro; Delgado, Alvaro; Mieres, Pablo; Mujica, José; Tourné, Daisy",,,2017-11-08 00:00:00,,MINUTA DE COMUNICACION,MILAGRO ANDES. HOMENAJE. MONTEVIDEO. ESPACIO PUBLICO. SOLICITUD.
,,,2017-11-14 00:00:00,137535,1,1,Cámara Senadores,"Bordaberry Herrán, Juan Pedro; Camy Antognazza, Carlos Daniel; Heber, Luis Alberto; Larrañaga, Jorge; Mieres, Pablo",,,2017-11-14 00:00:00,,MINUTA DE COMUNICACION,FÁBRICA NACIONAL PAPEL (FANAPEL). COOPERATIVA TEXTIL PUERTO SAUCE (EX AGOLÁN). EX TRABAJADORES. HABERES JUBILATORIOS. COBRO.
,,,2017-07-12 00:00:00,135696,1,1,Cámara Senadores,"Bordaberry Herrán, Juan Pedro",,,,,PROYECTO DE LEY,POLICÍA. FALLECIMIENTO. CAUSAHABIENTES. BENEFICIOS. EXTENSIÓN.
,,,2018-03-05 00:00:00,138617,0,2,Cámara Senadores,"Bordaberry Herrán, Juan Pedro",,,,,PEDIDO DE INFORMES,DESTINOS DIPLOMATICOS. FUNCIONARIAS MINISTERIO RELACIONES EXTERIORES. DESIGNACIÓN. INFORMES.
,,,2017-07-05 00:00:00,135589,1,1,Cámara Senadores,"Bordaberry Herrán, Juan Pedro",,,,,PROYECTO DE RESOLUCION,CAMARA SENADORES. DECRETO 500/991 Y MODIFICATIVAS. APLICACION.
,,,2018-03-06 00:00:00,138694,0,3,Cámara Senadores,"Bordaberry Herrán, Juan Pedro",,,,,PEDIDO DE INFORMES,FISCALÍA GENERAL DE LA NACIÓN. FUNCIONARIOS. INFORMES.
,,,2018-02-19 00:00:00,138436,0,3,Cámara Senadores,"Bordaberry Herrán, Juan Pedro",,,,,PEDIDO DE INFORMES,INC. VEHÍCULOS OFICIALES. USO. INFORMES.
,,,2018-02-09 00:00:00,138437,0,4,Cámara Senadores,"Bordaberry Herrán, Juan Pedro",,,,,PEDIDO DE INFORMES,ROBOS Y ASALTOS. INFORMES.
,,,2017-10-02 00:00:00,136808,0,2,Cámara Senadores,"Bordaberry Herrán, Juan Pedro",,,,,PEDIDO DE INFORMES,MATRIZ ATS S.A. (GRUPO ANCAP). EMPRESA. FUNCIONAMIENTO. ESTRUCTURA. INFORMES.
,,,2017-09-13 00:00:00,136639,0,1,Cámara Senadores,"Bordaberry Herrán, Juan Pedro",,,,,PEDIDO DE INFORMES,CENTROS DE RECUSIÓN. SEÑAL DE CELULARES. BLOQUEO. INFORMES.
,,,2017-09-12 00:00:00,136594,0,2,Cámara Senadores,"Bordaberry Herrán, Juan Pedro",,,,,PEDIDO DE INFORMES,RUTAS. CARTELERIA Y SEÑALIZACION. POSTES DE HORMIGON. INFORMES.
,,,2017-04-18 00:00:00,134382,0,2,Cámara Senadores,"Bordaberry Herrán, Juan Pedro",,,,,PEDIDO DE INFORMES,MIEM. BENEFICIO PARA INDUSTRIAS EFICIENTES. CAMPAÑA. INFORMES.
,,,2017-03-27 00:00:00,134143,0,3,Cámara Senadores,"Bordaberry Herrán, Juan Pedro",,,,,PEDIDO DE INFORMES,PERSONAS PRIVADAS DE LIBERTAD. PROCESOS DE REHABILITACIÓN. INFORMES
,,,2017-03-22 00:00:00,134035,0,2,Cámara Senadores,"Bordaberry Herrán, Juan Pedro",,,,,PEDIDO DE INFORMES,BROU. OBRAS CIVILES. AGENCIAS. MONTEVIDEO Y CANELONES. 2014-2017. INFORMES.
,,,2017-03-13 00:00:00,133826,0,3,Cámara Senadores,"Bordaberry Herrán, Juan Pedro",,,,,PEDIDO DE INFORMES,FONDO DE SOLIDARIDAD. FUNCIONAMIENTO. INFORMES.
,,,2017-06-13 00:00:00,135253,1,1,Cámara Senadores,"Bordaberry Herrán, Juan Pedro",,,,,PROYECTO DE LEY,LEY 19.210. INCLUSIÓN FINANCIERA. PRÓRROGA. ARTÍCULOS.
,,,2017-04-18 00:00:00,134381,1,1,Cámara Senadores,"Bordaberry Herrán, Juan Pedro",,,,,PROYECTO DE LEY,MOTOR COMBUSTION INTERNA. VEHICULOS. CIRCULACION AÑO 2035. IMPORTACION AÑO 2030. PROHIBICION.
,,,2017-03-14 00:00:00,133874,1,1,Cámara Senadores,"Bordaberry Herrán, Juan Pedro",,,,,PROYECTO DE LEY,DERECHO DEL TRABAJADOR. DESCONEXIÓN FUERA DEL HORARIO LABORAL.
,,,2017-02-07 00:00:00,133569,1,1,Cámara Senadores,"Bordaberry Herrán, Juan Pedro",,,,,PROYECTO DE LEY,"REDES SOCIALES. CUENTAS OFICIALES, INSTITUCIONALES Y GUBERNAMENTALES. BLOQUEO. PROHIBICION."
,,,2017-03-07 00:00:00,133750,0,3,Cámara Senadores,"Bordaberry Herrán, Juan Pedro",,,,,PEDIDO DE INFORMES,"COMISION INTERMINISTERIAL PUERTO AGUAS PROFUNDAS. PERSONAL, ASESORES Y CONSULTORES CONTRATADOS. INFORMES."
,,,2017-02-14 00:00:00,133585,0,1,Cámara Senadores,"Bordaberry Herrán, Juan Pedro",,,,,PEDIDO DE INFORMES,PUERTO DE MONTEVIDEO. CONTENEDORES REFRIGERADOS. SERVICIO DE FRÍO. INFRAESTRUCTURA. LICITACIÓN. INFORMES.
,,,2017-02-07 00:00:00,133573,0,2,Cámara Senadores,"Bordaberry Herrán, Juan Pedro",,,,,PEDIDO DE INFORMES,YOUNG (RIO NEGRO). 2011-2016. DELITOS. INFORMES.
,,,2017-02-02 00:00:00,133563,0,2,Cámara Senadores,"Bordaberry Herrán, Juan Pedro",,,,,PEDIDO DE INFORMES,MIDES. RUBRO TRANSFERENCIAS. GASTO OBLIGADO 2010 Y 2015. APERTURA. INFORMES
,,,2016-12-19 00:00:00,133217,0,3,Cámara Senadores,"Bordaberry Herrán, Juan Pedro",,,,,PEDIDO DE INFORMES,REFUGIADOS. ASILO POLÍTICO. SOLICITUD. CUBANOS. CIUDADANOS. INGRESOS AL PAIS. INFORMES
,,,2016-11-30 00:00:00,132927,0,2,Cámara Senadores,"Bordaberry Herrán, Juan Pedro",,,,,PEDIDO DE INFORMES,PLATAFORMA CONTINENTAL. EXPLOTACIÓN HIDROCARBUROS. METODOLOGÍA FRACKING. UTILIZACIÓN. INFORMES.
,,,2016-11-21 00:00:00,132760,0,2,Cámara Senadores,"Bordaberry Herrán, Juan Pedro",,,,,PEDIDO DE INFORMES,URUGUAY-MÉXICO. TRATADO LIBRE COMERCIO. INFORMES.
,,,2016-11-15 00:00:00,132693,0,3,Cámara Senadores,"Bordaberry Herrán, Juan Pedro",,,,,PEDIDO DE INFORMES,ASSE INMUEBLES. DESTINO. INFORMES.
,,,2016-11-16 00:00:00,132708,0,2,Cámara Senadores,"Bordaberry Herrán, Juan Pedro",,,,,PEDIDO DE INFORMES,IMM-REPÚBLICA AFISA. CONVENIO CONSTRUCCIÓN ESTACIONAMIENTO BAJO PARQUE DE LAS ESCULTURA (EDIFICIO LIBERTAD). INFORMES.
,,,2016-11-16 00:00:00,132713,0,2,Cámara Senadores,"Bordaberry Herrán, Juan Pedro",,,,,PEDIDO DE INFORMES,MEF. REPRESENTACIÓN EN EXTERIOR. DEPARTAMENTOS ECONÓMICO COMERCIALES. INFORMES.
,,,2016-11-15 00:00:00,132681,0,2,Cámara Senadores,"Bordaberry Herrán, Juan Pedro",,,,,PEDIDO DE INFORMES,COMAP. BENEFICIOS FISCALES OTORGADOS INFORMES.
,,,2016-12-21 00:00:00,133260,1,2,Cámara Senadores,"Bordaberry Herrán, Juan Pedro",,,,,PROYECTO DE LEY,CIUDADANO. COMPENSACIÓN. INCUMPLIMIENTO DE SERVICIOS.
,,,2016-11-23 00:00:00,132827,1,1,Cámara Senadores,"Bordaberry Herrán, Juan Pedro; Heber, Luis Alberto; Mieres, Pablo; Pintado, Enrique",,,,,PROYECTO DE RESOLUCION,DEPORTE. COMISION ESPECIAL. CREACION.
,,,2016-10-03 00:00:00,131898,1,1,Cámara Senadores,"Bordaberry Herrán, Juan Pedro",,,,,PROYECTO DE LEY,FUNCIONARIOS PODER JUDICIAL Y MINISTERIO EDUCACION Y CULTURA. RETRIBUCION. AJUSTE. MODIFICACION.
,,,2016-07-12 00:00:00,130719,1,2,Cámara Senadores,"Bordaberry Herrán, Juan Pedro",,,,,PROYECTO DE LEY,VEHÍCULOS AUTOMOTORES. EQUIPAMIENTO TECNOLÓGICO. NORMAS.
,,2016-12-28 00:00:00,2016-11-14 00:00:00,132647,2,7,Cámara Senadores,"Bordaberry Herrán, Juan Pedro",,2018-09-04 00:00:00,2018-10-16 00:00:00,2018-10-26 00:00:00,LEY,ESPACIOS PUBLICOS. LEY FALTAS Y CUIDADOS. MODIFICACION.
,,,2016-06-15 00:00:00,130547,1,1,Cámara Senadores,"Bordaberry Herrán, Juan Pedro; De León, Leonardo; Delgado, Alvaro; Mieres, Pablo",,,2016-06-15 00:00:00,,RESOLUCION,"""ARTICULOS PERIODISTICOS Y ENSAYOS"" (ZELMAR MICHELINI). LIBRO. REEDICION."
,,,2016-06-15 00:00:00,130248,0,2,Cámara Senadores,"Bordaberry Herrán, Juan Pedro",,,2016-06-22 00:00:00,,RESOLUCION,CORRUPCION EN URUGUAY. COMISION INVESTIGADORA. CREACION.
,,,2016-06-06 00:00:00,130074,0,0,Cámara Senadores,"Bordaberry Herrán, Juan Pedro",,,,,PROYECTO DE RESOLUCION,BIBLIOTECA. COMISIÓN BICAMERAL. CREACIÓN.
,,,2016-06-08 00:00:00,130149,0,1,Cámara Senadores,"Bordaberry Herrán, Juan Pedro; Delgado, Alvaro; Michelini, Rafael; Mieres, Pablo; Pintado, Enrique",,,2016-06-08 00:00:00,,RESOLUCION,PARTIDOS POLÍTICOS. FINANCIACIÓN Y PUBLICIDAD ELECTORAL. COMISIÓN ESPECIAL. CREACIÓN.
,,,2016-06-06 00:00:00,130072,1,2,Cámara Senadores,"Bordaberry Herrán, Juan Pedro",,,,,PROYECTO DE LEY,OBSERVATORIO NACIONAL FAUNA SILVESTRE.  CREACIÓN.
,,,2015-06-16 00:00:00,125009,1,2,Cámara Senadores,"Botana, Sergio; Enciso Christiansen, Carlos; Heber, Luis Alberto; Peña Fernández, Daniel",,,,,PROYECTO DE LEY,MENORES INFRACTORES. RESPONSABLES. NORMAS.
,,,2019-04-12 00:00:00,143212,0,0,Cámara Senadores,"Besozzi, Guillermo",,,,,PEDIDO DE INFORMES,VIVIENDAS DESOCUPADAS. PROPIEDAD ORGANISMOS PÚBLICOS. INFORMES.
,,2018-05-15 00:00:00,2015-06-16 00:00:00,125010,2,7,Cámara Senadores,"Botana, Sergio; Enciso Christiansen, Carlos; Heber, Luis Alberto; Larrañaga, Jorge; Peña Fernández, Daniel",,2018-12-12 00:00:00,2018-05-09 00:00:00,2018-12-21 00:00:00,LEY,PLANES VIVIENDA. BENEFICIARIOS. ESCRITURACION DEFINITIVA. MODIFICACION.
,,,2018-10-03 00:00:00,141458,0,14,Cámara Senadores,"Besozzi, Guillermo",,,,,PEDIDO DE INFORMES,JUICIOS CONTRA ESTADO. INFORMES.
,,,2018-08-02 00:00:00,140680,0,2,Cámara Senadores,"Besozzi, Guillermo",,,,,PEDIDO DE INFORMES,PRODUCTORES AGROPECUARIOS. ENDEUDAMIENTO. DEVOLUCIÓN IMPUESTOS. INFORMES.
,,,2018-04-03 00:00:00,139090,0,2,Cámara Senadores,"Besozzi, Guillermo",,,,,PEDIDO DE INFORMES,LOTERIAS Y QUINIELAS. SUBAGENTES. COMISIONES. PAGO. DETERMINACIÓN. INFORMES
,,,2018-03-19 00:00:00,138939,0,1,Cámara Senadores,"Besozzi, Guillermo",,,,,PEDIDO DE INFORMES,TORNADO. DOLORES (SORIANO). CENTROS EDUCATIVOS. RECONSTRUCCIÓN. INFORMES
,,,2016-06-29 00:00:00,130524,0,2,Cámara Senadores,"Besozzi, Guillermo",,,,,PEDIDO DE INFORMES,FUNCIONARIOS PÚBLICOS EXCEDENTARIOS. INFORMES
,,2015-07-01 00:00:00,,125359,0,2,Cámara Representantes,"Besozzi, Guillermo",,,,,PEDIDO DE INFORMES,PENSION DISCAPACIDAD. TRAMITE. DEMORA. INFORMES
,,2015-06-02 00:00:00,,124897,0,2,Cámara Representantes,"Besozzi, Guillermo",,,,,PEDIDO DE INFORMES,ASSE. EMERGENCIA MOVIL YOUNG (RIO NEGRO). CONVENIO COBERTURA MEDICA A DOMICILIO. IMPLEMENTACION. INFORMES.
,,2015-06-03 00:00:00,,124900,0,2,Cámara Representantes,"Besozzi, Guillermo",,,,,PEDIDO DE INFORMES,HOSPITAL MERCEDES (SORIANO). EMERGENCIAS. FUNCIONAMIENTO. INFORMES.
,,,2017-12-19 00:00:00,137958,1,1,Cámara Senadores,"Besozzi, Guillermo; Delgado, Alvaro",,,,,PROYECTO DE LEY,SECTOR LECHERO. FIDEICOMISO DE GARANTÍA Y FINANCIERO. CREACIÓN.
,,2015-06-17 00:00:00,,125053,1,1,Cámara Representantes,"Abdala, Pablo; Besozzi, Guillermo",,,,,PROYECTO DE LEY,SECUESTRO VIRTUAL Y PRIVACION LIBERTAD. DELITOS. CODIGO PENAL. MODIFICACION.
,,2015-06-16 00:00:00,,125025,1,1,Cámara Representantes,"Ayala, Mario; Besozzi, Guillermo; Britos, Betiana; Caballero, Irene; Dastugue, Álvaro; Díaz Angüilla, Pablo; Ezquerra Alonso, W. Aparicio; García, Mario; Lafluf, Omar; Mier Estades, Egardo Dionisio; Olivera, Nicolás; Peña Fernández, Daniel; Roselli, Edmundo; Yurramendi Pérez, José",,,,,PROYECTO DE LEY,OPTICO. PROFESION. REGLAMENTACION.
